sead-result,title,sead-details,veritas-tag,sender
Be Careful with this message,Your Tickets for State of Phishing 2023,Suspicious Scam Email\nThe reply address is strange. (\ncybersecurityfoundry@auckland.ac.nz)\nNo Record in Sent items\nnoreply@order.eventbrite.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@order.eventbrite.com),e.veritas:Phishing,Eventbrite <noreply@order.eventbrite.com>
Be Careful with this message,Phishing Conference,Malicious Internet Link\nDomain of Internet Link (@buff.ly) is\nsuspected of a malicious site.\nNo Record in Sent items\nisa.seow@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (isa.seow@auckland.ac.nz),e.veritas:Legitimate,Isa Seow <isa.sseow@auckland.ac.nz>
This message looks secure,Re: update for windows vm,No Record in Sent items\nIbet419@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (Ibet419@aucklanduni.ac.nz),e.veritas:Legitimate,Lucas Betts <Ibet419@aucklanduni.ac.nz>
This message looks secure,Secure your Future: Demystifying a Career in Cybersecurity,No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com),e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
This message looks secure,Griffin Almquist is trying to reach you in Microsoft Teams,No Record in Sent items\nnoreply@email.teams.microsoft.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(noreply@email.teams.microsoft.com),e.veritas:Legitimate,Microsoft Teams <noreply@email.teams.microsoft.com>
This message looks secure,NZISF Seminar - August - Show Me the Threat Model! Embracing threat modelling mandates for strategi,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,INFOSYS 727: Advanced Information Security <notifications@instructure.con
This message looks secure,## Contact Info of Classmates ##,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 725 on Piazza <no-reply@piazza.com>
This message looks secure,Joseph Austin Alip is trying to reach you in Microsoft Teams,No Record in Sent items\nnoreply@email.teams.microsoft.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(noreply@email.teams.microsoft.com),e.veritas:Legitimate,Microsoft Teams <noreply@email.teams.microsoft.com>
Be Careful with this message,You sure have a way with words.,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9410727365027c72-48964_HTML-\n813318449-6424583-\n12919@send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,COMPSCI 725 Group,No Record in Sent items\njaliS72@aucklanduni.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (jalis72@aucklanduni.ac.nz),e.veritas:Legitimate,Austin Alip <jalis72@aucklanduni.ac.nz>
Be Careful with this message,Document shared with you: ?€?Proposal?€?,Suspicious Scam Email\nThe reply address is strange. (\njaliS72@aucklanduni.ac.nz)\nNo Record in Sent items\ndrive-shares-dm-noreply@google.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (drive-shares-dm-\nnoreply@google.com),e.veritas:Legitimate,Austin Alip (via Google Docs) <drive-shares-dm-noreply@google.com>
This message looks secure,Re: infosys727 Group 4 meeting schedule,No Record in Sent items\nk.tawa@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (k.tawa@auckland.ac.nz),e.veritas:Legitimate,Koro Tawa <k.tawa@auckland.ac.nz>
This message looks secure,Finding your group members: COMPSCI 725: Usable Security and Privacy Engineering,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,COMPSCI 725: Usable Security and Privacy Engineering <notifications@instrt
This message looks secure,Project Groups: COMPSCI 725: Usable Security and Privacy Engineering,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,COMPSCI 725: Usable Security and Privacy Engineering <notifications@instrt
This message looks secure,Assignments,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 725 on Piazza <no-reply@piazza.com>
This message looks secure,Seminar Topics and Schedule are now published: COMPSCI 725: Usable Security and Privacy Engineering,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,COMPSCI 725: Usable Security and Privacy Engineering <notifications@instrt
This message looks secure,Re: infosys727 Group 4 meeting schedule,No Record in Sent items\nk.tawa@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (k.tawa@auckland.ac.nz),e.veritas:Legitimate,Koro Tawa <k.tawa@auckland.ac.nz>
This message looks secure,INFOSYS727-Group 4 Meeting,No Record in Sent items\nk.tawa@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (k.tawa@auckland.ac.nz),e.veritas:Legitimate,Koro Tawa <k.tawa@auckland.ac.nz>
This message looks secure,Re: infosys727 Group 4 meeting schedule,No Record in Sent items\nk.tawa@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (k.tawa@auckland.ac.nz),e.veritas:Legitimate,Koro Tawa <k.tawa@auckland.ac.nz>
This message looks secure,Assignments,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 725 on Piazza <no-reply@piazza.com>
Be Careful with this message,Recent Canvas notifications,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com)\nSuspicious Spam Messages\nThe reply address is strange. (\nreply+471da58566db489b-\n6199~246375244-\n1691226146 @notifications.canvasims.com,e.veritas:Legitimate,University of Auckland - Canvas <notifications@instructure.com>
Be Careful with this message,NetAcad.com maintenance on August 11 2023,No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
Be Careful with this message,Document shared with you: ?€?infosys727-final-report?€?,Suspicious Scam Email\nThe reply address is strange. (\nhche407@aucklanduni.ac.nz)\nNo Record in Sent items\ndrive-shares-dm-noreply@google.com is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (drive-shares-dm-\nnoreply@google.com),e.veritas:Legitimate,Hongjian Chen (via Google Docs) <drive-shares-dm-noreply@google.com>
This message looks secure,A way to automatically extract Outlook phishing add-in results [CS791],No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
This message looks secure,"Mature students, accelerate your employability with CDES!",No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
Be Careful with this message,Earning badges & unlocking tones like it's no big deal.,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9510727365007b76-48964_HTML-\n813318449-6424583-\n25924@send.grammarly.com). It looks\nSuspicious phishing\nSome phrases used in phishing emails\nare inclided,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This email seems dangerous,FSD-7651 Apply for free license for research purpose,Suspicious Scam Email\nThe reply address is strange. (\nsupport@fraud.net)\nNo Record in Sent items\nsupport@fraudnet.atlassian.net is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(support @fraudnet.atlassian.net)\nUndefined Category Domain\n@fraudnet.atlassian.net is a unkown\ndamain amonno cecturitvy comnanie<.,e.veritas:Phishing,Tony Ferrono <support@fraudnet.atlassian.net>
Be Careful with this message,FSD-7651 Apply for free license for research purpose,Suspicious Scam Email\nThe reply address is strange. (\nsupport@fraud.net)\nNo Record in Sent items\nsupport@fraudnet.atlassian.net is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(support @fraudnet.atlassian.net)\nUndefined Category Domain\n@fraudnet.atlassian.net is a unkown\ndamain amonno cecturitvy comnanie<.,e.veritas:Phishing,Fraud.net Service Desk <support@fraudnet.atlassian.net>
This message looks secure,VC update Monday 31 July,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz),e.veritas:Legitimate,University of Auckland <studentinfo@auckland.ac.nz>
Be Careful with this message,Finish signing up to Fraud.net Help Center,No Record in Sent items\njira@fraudnet.atlassian.net is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (jira@fraudnet.atlassian.net)\nUndefined Category Domain\n@fraudnet.atlassian.net is a unkown\ndomain among security companies.\nSuspicious Phishing Email\nThe creation date of the link\n(@fraudnet atlaccian net) ic not found in,e.veritas:Legitimate,Fraud.net Help Center <jira@fraudnet.atlassian.net>
Be Careful with this message,Finish signing up to Fraud.net Help Center,No Record in Sent items\njira@fraudnet.atlassian.net is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (jira@fraudnet.atlassian.net)\nUndefined Category Domain\n@fraudnet.atlassian.net is a unkown\ndomain among security companies.\nSuspicious Phishing Email\nThe creation date of the link\n(@fraudnet atlaccian net) ic not found in,e.veritas:Legitimate,Fraud.net Help Center <jira@fraudnet.atlassian.net>
This message looks secure,Week 3 - Cryptography - Group Project: INFOSYS 727: Advanced Information Security,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,INFOSYS 727: Advanced Information Security <notifications@instructure.con
This message looks secure,Event reminder: MPI's Grad Development Programme. What to expect and how you'll be supported,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Job Opportunity - The University of Auckland <careers@auckland.a
Be Careful with this message,Recent Canvas notifications,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com)\nSuspicious Spam Messages\nThe reply address is strange. (\nreply+0a435c526b427b0d-\n6199~245143709-\n1690621398@notifications.canvasims.com,e.veritas:Legitimate,University of Auckland - Canvas <notifications@instructure.com>
This message looks secure,Re: Top 20 Outlook add-in summary [CS791],No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Hongjian Chen <hche407@aucklanduni.ac.nz>
This message looks secure,UPDATED LOCATION: Prime Minister's Scholarships for Asia and Latin America (global internships + stud,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Job Opportunity - The University of Auckland <careers@auckland.ac.
This message looks secure,Prime Minister's Scholarships for Asia and Latin America (global internships + study programmes) ?€? appl,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Job Opportunity - The University of Auckland <careers@auckland.ac.
This message looks secure,Individual seminar presentation dates,No Record in Sent items\nno-reply@piazza.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (no-reply@piazza.com),e.veritas:Legitimate,COMPSCI 725 on Piazza <no-reply@piazza.com>
Be Careful with this message,SkillsForAll.com Planned Maintenance on 1 September 2023,No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
Be Careful with this message,Notification of Concession Decision,Suspicious email address\nThe Original Sender email address is\ndonotreply@auckland.ac.nz\nNo Record in Sent items\ndonotreply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (donotreply@auckland.ac.nz),e.veritas:Legitimate,donotreply@auckland.ac.nz
Be Careful with this message,Enrolment Confirmation,Suspicious email address\nThe Original Sender email address is\nnoreply@auckland.ac.nz\nNo Record in Sent items\nnoreply@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@auckland.ac.nz),e.veritas:Legitimate,noreply@auckland.ac.nz
Be Careful with this message,"A more inclusive, accessible world",No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
This message looks secure,[studentinfo] [Course Enrolment] Approval Evidence for Course CS725 Concessions [Service Request: 230,No Record in Sent items\nstudentinforeply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(studentinforeply@auckland.ac.nz),e.veritas:Legitimate,University of Auckland - Waipapa Taumata Rau <studentin
This email seems dangerous,Fees Reminder,Suspicious Scam Email\nThe reply address is strange. (\nfees@auckland.ac.nz)\nSuspicious email address\nThe Original Sender email address is\ncollections@auckland.ac.nz\nNo Record in Sent items\ncollections@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncamnanvy (collection<@atuckland ac.n7),e.veritas:Legitimate,collections@auckland.ac.nz
Be Careful with this message,Notification of Concession Decision,Suspicious email address\nThe Original Sender email address is\ndonotreply@auckland.ac.nz\nNo Record in Sent items\ndonotreply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (donotreply@auckland.ac.nz),e.veritas:Legitimate,donotreply@auckland.ac.nz
Be Careful with this message,Notification of Concession Decision,Suspicious email address\nThe Original Sender email address is\ndonotreply@auckland.ac.nz\nNo Record in Sent items\ndonotreply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (donotreply@auckland.ac.nz),e.veritas:Legitimate,donotreply@auckland.ac.nz
Be Careful with this message,Enrolment Confirmation,Suspicious email address\nThe Original Sender email address is\nnoreply@auckland.ac.nz\nNo Record in Sent items\nnoreply@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (noreply@auckland.ac.nz),e.veritas:Legitimate,noreply@auckland.ac.nz
Be Careful with this message,Please provide your feedback,No Record in Sent items\nstudentinfo@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (studentinfo@auckland.ac.nz)\nSuspicious Spam Messages\nThe reply address is strange. (\nnoreply@auckland.ac.nz). It looks like\nadvertising mail.,e.veritas:Legitimate,University of Auckland - Student Contact and Support <studentinfo@aucklar
This message looks secure,[studentinfo] [Course Enrolment] Approval Evidence for Course CS725 Concessions [Service Request: 230,No Record in Sent items\nstudentinforeply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(studentinforeply@auckland.ac.nz),e.veritas:Legitimate,University of Auckland - Waipapa Taumata Rau <studentin
This message looks secure,[studentinfo] [Course Enrolment] Approval Evidence for Course CS725 Concessions [Service Request: 230,No Record in Sent items\nstudentinforeply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(studentinforeply@auckland.ac.nz),e.veritas:Legitimate,University of Auckland - Waipapa Taumata Rau <studentin
This message looks secure,[studentinfo] [Course Enrolment] Approval Evidence for Course CS725 Concessions [Service Request: 230,No Record in Sent items\nstudentinforeply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(studentinforeply@auckland.ac.nz),e.veritas:Legitimate,University of Auckland - Waipapa Taumata Rau <studentin
Be Careful with this message,[You're Invited] Announcing Winners for the Alumni Awards,No Record in Sent items\nnetacademail@external.cisco.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(netacademail@external.cisco.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,Cisco Networking Academy <netacademail@external.cisco.com>
Be Careful with this message,You used more unique words than 86% of users!,No Record in Sent items\ninfo@send.grammarly.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (info@send.grammarly.com)\nSuspicious Spam Messages\nThe reply address is strange. ( reply-\nfe9610727365077f72-48964_HTML-\n813318449-6424583-\n24911@send.grammarly.com). It looks like,e.veritas:Legitimate,Grammarly Insights <info@send.grammarly.com>
This message looks secure,Re: Cognitive Walkthrough,No Record in Sent items\nRobertBiddle@cunet.carleton.ca is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(RobertBiddle@cunet.carleton.ca),e.veritas:Legitimate,Robert Biddle <RobertBiddle@cunet.carleton.ca>
This message looks secure,[studentinfo] [Course Enrolment] Approval Evidence for Course CS725 Concessions [Service Request: 230,No Record in Sent items\nstudentinforeply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(studentinforeply@auckland.ac.nz),e.veritas:Legitimate,University of Auckland - Waipapa Taumata Rau <studentinforeply@aucklanc
This message looks secure,project,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
This message looks secure,Week 2 - Cisco Lab Mapping / Group Project / Cryptography: INFOSYS 727: Advanced Information Securi,No Record in Sent items\nnotifications@instructure.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (notifications @instructure.com),e.veritas:Legitimate,INFOSYS 727: Advanced Information Security <notifications@instructure.con
This message looks secure,Re: [Important] Inquiry for course CS725,No Record in Sent items\nnalin.arachchilage@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(nalin.arachchilage@auckland.ac.nz),e.veritas:Legitimate,Nalin Arachchilage <nalin.arachchilage@auckland.ac.nz>
Be Careful with this message,[cs-grad] Room Surveyors - candidate request- University of Auckland August 4th Start date,No Record in Sent items\nk.maltseva@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (k.maltseva@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of K
Be Careful with this message,[cs-grad] Fw: Beginner's and intermediate yoga class from 19th July,No Record in Sent items\nyan.kolezhitskiy@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(yan. kolezhitskiy@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndomain among security companies.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of Yan Kolezhitskiy <y
This message looks secure,Cognitive Walkthrough,No Record in Sent items\nRobertBiddle@cunet.carleton.ca is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(RobertBiddle@cunet.carleton.ca),e.veritas:Legitimate,Robert Biddle <RobertBiddle@cunet.carleton.ca>
Be Careful with this message,Notification of Concession Decision,Suspicious email address\nThe Original Sender email address is\ndonotreply@auckland.ac.nz\nNo Record in Sent items\ndonotreply@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (donotreply@auckland.ac.nz),e.veritas:Legitimate,donotreply@auckland.ac.nz
This message looks secure,Microsoft Outlook Test Message,No Record in Sent items\nhche407@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (hche407@aucklanduni.ac.nz),e.veritas:Legitimate,Microsoft Outlook <hche407@aucklanduni.ac.nz>
This message looks secure,Don't miss the 2023 CDES Internship and Graduate Career Expo!,No Record in Sent items\ncareers@auckland.ac.nz is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (careers@auckland.ac.nz),e.veritas:Legitimate,CDES - Career Event - The University of Auckland <careers@auckland.ac.nz>
This message looks secure,Re: Weekly update,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
This email seems dangerous,[cs-grad] Upcoming programming competitions,Suspicious Phishing Email\nCreation date of Internet Link\n(@nzprogcontest.org.nz) is not searched\nin database.\nNo Record in Sent items\nrajko.nenadov@auckland.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany.\n(rajko.nenadov@auckland.ac.nz)\nUndefined Category Domain\n@list.science.auckland.ac.nz is a unkown\ndamain amonno cecturitvy comnanie<.,e.veritas:Legitimate,cs-grad-request@list.science.auckland.ac.nz on behalf of R
This message looks secure,Re: Weekly update,No Record in Sent items\ng.russello@auckland.ac.nz is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (g.russello@auckland.ac.nz),e.veritas:Legitimate,Giovanni Russello <g.russello@auckland.ac.nz>
This message looks secure,Weekly update,No Record in Sent items\nszhu842@aucklanduni.ac.nz is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of\ncompany. (szhu842@aucklanduni.ac.nz),e.veritas:Legitimate,Sijie Zhuo <szhu842@aucklanduni.ac.nz>
