sead-result,title,sead-details,veritas-tag,sender
This email seems dangerous,Status: Your payment method was declined !,Suspicious Sender Domain\n@rnatlika-deliy.comis created 9months ago\nNo Record in Sent items\ncool41@rnatlika-deliy.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(cool41@rnatlika-deliy.com)\nUndefined Category Domain\n@rnatlika-deliy.com is a unkown domain\namong security companies.,e.veritas:Phishing,~ NETIFLIX <cool41@rnatlika-deliy.com>
This email seems dangerous,Status: Your payment method was declined !,Suspicious Sender Domain\n@rnatlika-deliy.comis created 9months ago\nNo Record in Sent items\ncool390@rnatlika-deliy.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(cool390@rnatlika-deliy.com)\nUndefined Category Domain\n@rnatlika-deliy.com is a unkown domain\namong security companies.,e.veritas:Phishing,~ NETLFLX <cool390@rnatlika-deliy.com>
This email seems dangerous,[PayPay$R{7] Ke ARORA,"Suspicious Phishing Email\nCreation date of Internet Link (@paypay-\nbank.qempaaf.cn?\nwetxNBCW2101.doa.php"">https:) is not\nsearched in database.\nMalicious Internet Link\nDomain of Internet Link (@paypay-\nbank.qempaaf.cn?\nwetxNBCW2101.doa.php"">https:) has very\nbad reputation.\nSuspicious Sender Domain\nThe creation date is not searched with\n@srqxcjd.cn\nNo Record in Sent items\njapannetbank@srqxcjd.cn is not recorded in\nthe recently sent mailbox.",e.veritas:Phishing,< PayPay$8{F > <japannetbank@sraxcjd.cn>
Be Careful with this message,Email Service - Action Alert for monkey.org,Suspicious Sender Domain\nThe creation date is not searched with\n@mypostoffice.co.uk\nNo Record in Sent items\nmichaelhardy@mypostoffice.co.uk is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(michaelhardy@mypostoffice.co.uk),e.veritas:Legitimate,_ Support <michaelhardy@mypostoffice.co.uk>
Be Careful with this message,New Document From USAA,Suspicious Phishing Email\nCreation date of Internet Link (@s.id) is not\nsearched in database.\nMalicious Internet Link\nDomain of Internet Link (@s.id) is\nsuspected of a malicious site.\nNo Record in Sent items\nben@westbrooklawfirm.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(ben@westbrooklawfirm.com),e.veritas:Phishing,_ USAA.Web.Services <ben@westbrooklawfirm.com>
Be Careful with this message,Identity Confirmation Request from monkey.org,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nsupport@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@monkey.org),e.veritas:Legitimate,- monkey.org <support@monkey.org>
This email seems dangerous,Action Required on monkey.org,Suspicious Sender Domain\n@iswpanelvrfpage.comis created 9months\nago\nNo Record in Sent items\nmail01-iswsendgrid@iswpanelvrfpage.com\nis not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(mail01-\niswsendgrid@iswpanelvrfpage.com)\nUndefined Category Domain\n@iswpanelvrfpage.com is a unkown\ndomain among security companies.,e.veritas:Legitimate,_ Support monkey.org <mail01-iswsendgrid@iswpanelvrfpage.com>
This email seems dangerous,7 unread encrypted emails received,Malicious Internet Link\nDomain of Internet Link (@low-foregoing-\nzinc.glitch.me) has very bad reputation.\nNo Record in Sent items\njose@genfiak.host is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@genfiak.host)\nUndefined Category Domain\n@genfiak.host is a unkown domain among\nsecurity companies.,e.veritas: Weming,~ monkey.org Mail Center <jose@genfiak.host>
This email seems dangerous,You have secured emails in monkey.org mailserver,Malicious Internet Link\nDomain of Internet Link (@low-foregoing-\nzinc.glitch.me) has very bad reputation.\nNo Record in Sent items\njose@genfiak.host is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@genfiak.host)\nUndefined Category Domain\n@genfiak.host is a unkown domain among\nsecurity companies.,e.veritas: Weming,~ monkey.org Mail Center <jose@genfiak.host>
This email seems dangerous,7 unread encrypted emails received,"Malicious Internet Link\nDomain of Internet Link (@beaded-\ngrandioseaprilolkiuj.glitch.me#jose@monk\ney.org"") has very bad reputation.\nNo Record in Sent items\njose@synergynatural.cam is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@synergynatural.cam)\nUndefined Category Domain\n@synergynatural.cam is a unkown domain\namong security companies.",e.veritas:Legitimate,- monkey.org Mail Center <jose@synergynatural.cam>
Be Careful with this message,Your recent outgoing messages couldn't be delivered,No Record in Sent items\nadmin@chicagopromoitems.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(admin@chicagopromoitems.com)\nUndefined Category Domain\n@chicagopromoitems.com is a unkown\ndomain among security companies.,e.veritas:Phishing,- monkey.org Email Admin <admin@chicagopromoitems.com>
Be Careful with this message,Your account is on hold.,Suspicious Internet Link\nDomain of Internet Link (@cubiko.co) has\nbad reputation.\nNo Record in Sent items\ninfo@vccedge.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@vccedge.com),e.veritas:Phishing,- Help Center <info@vccedge.com>
This email seems dangerous,[CASE ID: KTF-178-OxEoHbxloE]:IMPORTANT: You have 1 new message(s) in your jos,Malicious Sender Domain\n@eifka.net has a very bad reputation.\nNo Record in Sent items\ncontrolpanel-\nemailbn101.noreply@eifka.net is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(controlpanel-\nemailbn101.noreply@eifka.net)\nUndefined Category Domain\n@eifka.net is a unkown domain among\nsecurity companies.,e.veritas: Weming,~ Webmail Support monkey.org <controlpanel-emailbn101.noreply@eifka.net>
Be Careful with this message,Identity Confirmation Request from monkey.org,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nsupport@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@monkey.org)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,- monkey.org Support System <support@monkey.org>
This message looks secure,Netflix : We're having some trouble with your current billing information,No Record in Sent items\ninfo438538285734@vccedge.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info438538285734@vccedge.com),e.veritas:Legitimate,— Help Center <info438538285734@vccedge.com>
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\ninfo416111724486@edgeinsights.in is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info416111724486@edgeinsights.in)\nUndefined Category Domain\n@edgeinsights.in is a unkown domain among\nsecurity companies.,e.veritas:Legitimate,- Help Center <info416111724486@edgeinsights.in>
This email seems dangerous,We're having some trouble with your current billing information,Suspicious Sender Domain\n@em8042.wilms-ch.orgis created 10months\nago\nNo Record in Sent items\nhelp_center_7360403570@em8042.wilms-\nch.org is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(help_center_7360403570@em8042.wilms-\nch.org)\nUndefined Category Domain\n@em8042.wilms-ch.org is a unkown\ndomain among security companies.,e.veritas: Weming,_ Help Center <help_center_7360403570@em8042.wilms-ch.org>
Be Careful with this message,jose@monkey.org received a share document via Onedrive,No Record in Sent items\nonedrive1 @zonasurgical.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(onedrive1@zonasurgical.com)\nUndefined Category Domain\n@zonasurgical.com is a unkown domain\namong security companies.\nSuspicious Phishing Email\nThe creation date of the link\n(@u30193765.ct.sendgrid.net) is not found,e.veritas:Legitimate,~ ONE-DRIVE MAIL NOTIFICATION <onedrive1@zonasurgical.com>
Be Careful with this message,Important Notice: Confirm Password Ref:5880069,Suspicious Sender Domain\nThe creation date is not searched with\n@very.co.uk\nNo Record in Sent items\nno-reply@very.co.uk is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no-reply@very.co.uk)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,- noreply <no-reply@very.co.uk>
This email seems dangerous,We're having some trouble with your current billing information,Suspicious Sender Domain\nThe creation date is not searched with\n@pgc.sa\nMalicious Sender Domain\n@pgc.sa has a very bad reputation.\nNo Record in Sent items\nsupport@pgc.sa is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@pgc.sa),e.veritas:Phishing,_ Help Center <support@pgc.sa>
Be Careful with this message,We're having some trouble with your current billing information,No Record in Sent items\nsupport@nomu.tokyo is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@nomu.tokyo)\nUndefined Category Domain\n@nomu.tokyo is a unkown domain among\nsecurity companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ Help Center <support@nomu.tokyo>
Be Careful with this message,"Voicenote Message from (078) 964*****(0.25s) on est 500 -November 18, 2022, 6:09:4",Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\njose@monkey.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jose@monkey.org),e.veritas:Phishing,- monkey.org <jose@monkey.org>
Be Careful with this message,jose@monkey.org Received A WeTransfer File,Suspicious Sender Domain\nThe creation date is not searched with\n@eprints.dinus.ac.id\nNo Record in Sent items\nsupport@eprints.dinus.ac.id is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@eprints.dinus.ac.id),e.veritas:Legitimate,_ WeTransfer <support@eprints.dinus.ac.id >
Be Careful with this message,Action Required: UPS Exception Notification,Malicious Internet Link\nDomain of Internet Link (@zpr.io) is\nsuspected of a malicious site.\nSuspicious Internet Link\nDomain of Internet Link (@zpr.io) has bad\nreputation.\nNo Record in Sent items\npkginfojose@journalsnj.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(pkginfojose@journalsnj.com),e.veritas:Legitimate,~ UPS® <pkginfojose@journalsnj.com>
Be Careful with this message,We're having some trouble with your current billing information,No Record in Sent items\nsupport45058046 1447382552142228@netfli\nx.com is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support450580461447382552142228@netfli\nx.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ Help Center <support450580461447382552142228@netflix.com>
This email seems dangerous,[CASE ID: KTF-178-OxEoHbxloE]:IMPORTANT: You have 1 new message(s) in your jos,Malicious Sender Domain\n@eifka.net has a very bad reputation.\nNo Record in Sent items\nnotifications-email03.cpsrv2 @eifka.net is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(notifications-email03.cpsrv2@eifka.net)\nUndefined Category Domain\n@eifka.net is a unkown domain among\nsecurity companies.,e.veritas: Weming,- Webmail Support monkey.org <notifications-email03.cpsrv2@eifka.net>
This message looks secure,FINAL NOTICE -,No Record in Sent items\nupdates56690@mail.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(updates56690@mail.com),e.veritas:Phishing,- no-reply <updates56690@mail.com>
Be Careful with this message,Unexpected sign-in attempt on jose@monkey.org,Suspicious Sender Domain\nThe creation date is not searched with\n@v2net.com.br\nNo Record in Sent items\njardimdoserido@v2net.com.br is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(jardimdoserido@v2net.com.br),e.veritas:Phishing,~ Email Notification <jardimdoserido@v2net.com.br>
Be Careful with this message,Your package is ready for delivery,No Record in Sent items\n7417242netflix.co.za@em8487.neurodiversen\nutritionrd.com is not recorded in the recently\nsent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(7417242netflix.co.za@em8487.neurodiverse\nnutritionrd.com)\nUndefined Category Domain\n@em8487.neurodiversenutritionrd.com is a\nunkown domain among security companies.,e.veritas:Phishing,~ Ram Hand To Hand Courier <7417242netflix.co.za@em8487.neurodiversenutritionrd.com:
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\n772845 5netflix.co.za@em8487.neurodivers\nenutritionrd.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(772845 5netflix.co.za@em8487.neurodivers\nenutritionrd.com)\nUndefined Category Domain\n@em8487.neurodiversenutritionrd.com is a\nunkown domain among security\ncompanies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ Help Center <7728455netflix.co.za@em8487.neurodiversenutritionrd.com>
Be Careful with this message,Your package is ready for delivery.,No Record in Sent items\n7011870south.africa.post.office.south.africa.\npost.office@em8487.neurodiversenutritionrd\ncom is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(7011870south.africa.post.office.south.africa.\npost.office@em8487.neurodiversenutritionrd\ncom)\nUndefined Category Domain\n@em8487.neurodiversenutritionrd.com is a\nunkown domain among security companies.,e.veritas: Weming,- South African post office <7011870south.africa.post.office.south.africa.post.office@em848
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\n5687746netflix.co.za@em8487.neurodivers\nenutritionrd.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(568774 6netflix.co.za@em8487.neurodivers\nenutritionrd.com)\nUndefined Category Domain\n@em8487.neurodiversenutritionrd.com is a\nunkown domain among security\ncompanies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,Netflix <5687746netflix.co.za@em8487.neurodiversenutritionrd.com>
Be Careful with this message,Your Parcel Number BN1018894701 is on the way,No Record in Sent items\n7041887 fastway.co.za_fastway.co.za_fastway.\nco.za@em8487.neurodiversenutritionrd.com\nis not recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(7041887 fastway.co.za_fastway.co.za_fastway\n-co.za@em8487.neurodiversenutritionrd.com\n)\nUndefined Category Domain\n@em8487.neurodiversenutritionrd.com is a\nunkown domain among security companies.,e.veritas: Weming,_ Fastway <7041887fastway.co.za_fastway.co.za_fastway.co.za@em8487.neurodiversenutritic
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\ninfo@lotoftees.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@lotoftees.com)\nUndefined Category Domain\n@lotoftees.com is a unkown domain\namong security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,- Customer Service <info@lotoftees.com>
This email seems dangerous,Verify Urgently jose,Malicious Sender Domain\n@bustomshisoa.com has a very bad\nreputation.\nNo Record in Sent items\ninfo@bustomshisoa.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@bustomshisoa.com)\nUndefined Category Domain\n@bustomshisoa.com is a unkown domain\namong security companies.,e.veritas:Phishing,_ Verify Now monkey.org <info@bustomshisoa.com>
Be Careful with this message,Your OpenSea Confirm Order #2852558012,No Record in Sent items\nsupport@reliantspraysystems.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@reliantspraysystems.com)\nUndefined Category Domain\n@reliantspraysystems.com is a unkown\ndomain among security companies.,e.veritas:Legitimate,- support reliantspraysystems.com <support@reliantspraysystems.com>
Be Careful with this message,FINAL WARNING : YOUR E-MAIL WILL CLOSE WITHIN 24 HOURS,No Record in Sent items\nsales@c-chats.life is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(sales@c-chats.life)\nUndefined Category Domain\n@c-chats.life is a unkown domain among\nsecurity companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ EMAIL ACCOUNT ADMIN <sales@c-chats.life>
Be Careful with this message,FINAL WARNING : YOUR E-MAIL WILL CLOSE WITHIN 24 HOURS,No Record in Sent items\nsales@c-chats.life is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(sales@c-chats.life)\nUndefined Category Domain\n@c-chats.life is a unkown domain among\nsecurity companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ EMAIL ACCOUNT ADMIN <sales@c-chats.life>
Be Careful with this message,FINAL WARNING : YOUR E-MAIL WILL CLOSE WITHIN 24 HOURS,No Record in Sent items\nsales@c-chats.life is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(sales@c-chats.life)\nUndefined Category Domain\n@c-chats.life is a unkown domain among\nsecurity companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ EMAIL ACCOUNT ADMIN <sales@c-chats.life>
Be Careful with this message,Netflix : We're having some trouble with your current billing information,Suspicious Sender Domain\nThe creation date is not searched with\n@footballnetwork.com.au\nNo Record in Sent items\nhelpcenter_15045474266458028875746860\n571538566533 166710036278@footballnet\nwork.com.au is not recorded in the recently\nsent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(helpcenter_1504547426645802887574686\n0571538566533 1667 10036278 @footballnet\nwork.com.au)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ Help Center <helpcenter_1504547426645802887574686057 1538566533 1667 10036278 @fc
Be Careful with this message,[Binance] Login Attempted from New IP address 285.128.9.147 - 2022-11-08 12:47:58(|,No Record in Sent items\nsupport@hale.itsahappyclient.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(support@hale.itsahappyclient.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,_ Binance <support@hale.itsahappyclient.com>
This email seems dangerous,[PayPay$R{7] Ke ARORA,"Suspicious Phishing Email\nCreation date of Internet Link\n(@gdxdnea.cn?\nwetxNBCW2101.doa.php"">https:) is not\nsearched in database.\nMalicious Internet Link\nDomain of Internet Link (@gdxdnea.cn?\nwetxNBCW2101.doa.php"">https:) has very\nbad reputation.\nSuspicious Sender Domain\nThe creation date is not searched with\n@smipomk.cn\nSuspected Malicious Sender\n@smipomk.cn has a low reputation.",e.veritas:Phishing,< PayPay$8{7 > <japannetbank@smipomkcn>
Be Careful with this message,jose@monkey.org:Password Expiration Notification,No Record in Sent items\nmikem @danawallboard.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(mikem@danawallboard.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,~ Email administrator <mikem@danawallboard.com>
Be Careful with this message,We're having some trouble with your current billing information,No Record in Sent items\nno-reply@magdalamatrimony.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no-reply@magdalamatrimony.com)\nUndefined Category Domain\n@magdalamatrimony.com is a unkown\ndomain among security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Phishing,Help Center <no-reply@magdalamatrimony.com>
This email seems dangerous,Email Deactivation jose@monkey.org,Suspicious Sender Domain\nThe creation date is not searched with\n@wx1.wxax.live\nMalicious Sender Domain\n@wx1.wxax.live has a very bad reputation.\nNo Record in Sent items\nnoreply@wx1.wxax.live is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@wx1.wxax.live),e.veritas: Weming,~ monkey.org <noreply@wx1.wxax.live>
This email seems dangerous,ACCOUNT VERIFICATION FOR YOUR MAILBOX jose@monkey.org,Malicious Internet Link\nDomain of Internet Link\n(@inviron.d23nmb19h816mi.amplifyapp.co\nm) has very bad reputation.\nSuspicious Sender Domain\nThe creation date is not searched with\n@russianlinen.ru\nNo Record in Sent items\ninfo@russianlinen.ru is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@russianlinen.ru),e.veritas:Phishing,“monkey.org Administration” <info@russianlinen.ru>
This message looks secure,BIS: SBN 3 Nov 2022,No Record in Sent items\njob@eppluslearning.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(job@eppluslearning.com),e.veritas:Phishing,- monkey.org <job@eppluslearning.com>
Be Careful with this message,monkey.org Server - Password Expired,Suspicious Sender Domain\nThe creation date is not searched with\n@emus.hu\nNo Record in Sent items\nkapcsolat@emus.hu is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(kapcsolat@emus.hu)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,- Server Admin monkey.org <kapcsolat@emus.hu>
Be Careful with this message,Incoming Mail @ Error,No Record in Sent items\nnotify-jose@conmacchio.com is not recorded\nin the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(notify-jose@conmacchio.com)\nUndefined Category Domain\n@conmacchio.com is a unkown domain\namong security companies.,e.veritas: Weming,_ Message Center monkey.org <notify-jose@conmacchio.com>
This email seems dangerous,LinkedIn Important Notification,Malicious Internet Link\nDomain of Internet Link\n(@storageapi.fleek.co) has very bad\nreputation.\nNo Record in Sent items\nhelpdesk.mail87-service@haizhli.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(helpdesk.mail87-service@haizhli.com)\nUndefined Category Domain\n@haizhli.com is a unkown domain among\nsecurity companies.,e.veritas:Phishing,~ LinkedIn Help Desk <helpdesk.mail87-service@haizhli.com>
Be Careful with this message,You have been officially restricted by your monkey.org I.T. Systems (Review your Activ,No Record in Sent items\nnoreply@aegfuels.co is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@aegfuels.co)\nUndefined Category Domain\n@aegfuels.co is a unkown domain among\nsecurity companies.,e.veritas:Phishing,- monkey.org <noreply@aegfuels.co>
This email seems dangerous,Email Deactivation jose@monkey.org,Suspicious Sender Domain\n@wx26.bzxa.liveis created 11months ago\nNo Record in Sent items\nnoreply@wx26.bzxa.live is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@wx26.bzxa.live)\nUndefined Category Domain\n@wx26.bzxa.live is a unkown domain\namong security companies.,e.veritas: Weming,- monkey.org <noreply@wx26.bzxa.live>
Be Careful with this message,Netflix : We're having some trouble with your current billing information,Suspicious Internet Link\nDomain of Internet Link (@qrcodes.pro)\nhas bad reputation.\nNo Record in Sent items\n05043262201263753331@help.nuren.co is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(05043262201263753331@help.nuren.co)\nUndefined Category Domain\n@help.nuren.co is a unkown domain among\nsecurity companies.,e.veritas: Weming,10/22/2022 4:12:34 PM <05043262201263753331@help.nuren.co>
Be Careful with this message,We're having some trouble with your current billing information,No Record in Sent items\n55133482420802311482@help.nuren.co is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(55133482420802311482@help.nuren.co)\nUndefined Category Domain\n@help.nuren.co is a unkown domain among\nsecurity companies.,e.veritas: Weming,~ Help Center <55133482420802311482@help.nuren.co>
Be Careful with this message,We're having some trouble with your current billing information,No Record in Sent items\n63348725240624302883netflix@em7031.per\nbudi.com is not recorded in the recently sent\nmailbox.\nExternal Sender\nThis email is sent from outside of company.\n(63348725240624302883netflix@em7031.pe\nrbudi.com)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,~ Netflix <63348725240624302883netflix@em7031.perbudi.com>
